Date,A,S
11/10/22,14,187
10/10/22,32,291
09/10/22,46,200
08/10/22,38,170
07/10/22,29,296
06/10/22,37,168
05/10/22,42,234
04/10/22,39,308
03/10/22,85,233
02/10/22,119,280
01/10/22,143,273
30/09/22,90,369
29/09/22,108,296
28/09/22,58,252
27/09/22,44,249
26/09/22,330,521
25/09/22,464,691
24/09/22,407,624
23/09/22,535,856
22/09/22,1044,1179
21/09/22,841,1063
20/09/22,656,770
19/09/22,1410,1489
18/09/22,1397,1479
17/09/22,585,745
16/09/22,412,722
15/09/22,573,777
14/09/22,546,768
13/09/22,376,610
12/09/22,414,647
11/09/22,1010,1091
10/09/22,959,1099
09/09/22,319,784
08/09/22,51,268
07/09/22,63,416
06/09/22,2680,2398
05/09/22,2171,2289
04/09/22,2133,1960
03/09/22,1133,1237
02/09/22,165,497
01/09/22,44,424
31/08/22,277,426
30/08/22,369,577
29/08/22,310,543
28/08/22,188,364
27/08/22,131,363
26/08/22,95,504
25/08/22,98,333
24/08/22,52,292
23/08/22,127,362
22/08/22,226,457
21/08/22,188,454
20/08/22,293,522
19/08/22,197,762
18/08/22,511,788
17/08/22,2127,2054
16/08/22,1490,1683
15/08/22,1536,1694
14/08/22,1674,1804
13/08/22,1230,1471
12/08/22,1574,1913
11/08/22,1714,1733
10/08/22,1004,1388
09/08/22,79,537
08/08/22,2600,2393
07/08/22,2822,2787
06/08/22,1842,2071
05/08/22,1676,1941
04/08/22,2248,2185
03/08/22,765,1149
02/08/22,190,477
01/08/22,176,484
31/07/22,313,602
30/07/22,322,673
29/07/22,539,1092
28/07/22,695,995
27/07/22,1731,1798
26/07/22,1897,2038
25/07/22,909,1282
24/07/22,551,891
23/07/22,399,743
22/07/22,458,1088
21/07/22,724,1080
20/07/22,900,1277
19/07/22,2325,2445
